tree	height	auc	time
1	0.7237	0.9008	0.162587669661
3	0.8873	0.9338	0.43194237426
5	0.9034	0.9342	0.698416365304
7	0.8723	0.913	0.961590212865
9	0.9004	0.937	1.25026163171
11	0.9355	0.9399	1.5149108568
13	0.9324	0.9497	1.78271399835
15	0.949	0.9609	2.05373864027
17	0.9327	0.9541	2.33487711399
19	0.9498	0.9671	2.61655421111
21	0.949	0.9591	2.90415534636
23	0.9441	0.9523	3.18005217479
25	0.9352	0.9576	3.48593865264
27	0.9499	0.963	3.73425386734
29	0.956	0.9619	4.01555700008
31	0.9454	0.9578	4.36126761227
33	0.9604	0.9725	4.65934589411
35	0.9418	0.9481	5.0256577247
37	0.9541	0.9647	5.21348573713
39	0.9605	0.9675	5.57582486179
41	0.9477	0.9562	5.76038181231
43	0.9518	0.9588	6.06555640616
45	0.9545	0.9582	6.4090035713
47	0.9431	0.9452	6.69898161267
49	0.9553	0.964	7.03982823034
