height	auc	 test_time
1 	 0.924905 	 0.697866
2 	 0.944905 	 0.697866 
3 	 0.950035 	 0.945178 
4 	 0.856622 	 1.191725 
5 	 0.983386 	 1.449091 
6 	 0.941566 	 1.665507 
7 	 0.880000 	 1.902038
8 	 0.952728 	 2.141432 
9 	 0.952741 	 2.414935 
10 	 0.948112 	 2.723463 
11 	 0.854174 	 2.937209
12 	 0.853854 	 3.146292
13 	 0.850000 	 3.424293
14 	 0.840000 	 3.724708
15 	 0.831047 	 3.914947
