height	auc	 test_time
1 	 0.944438 	 0.513665 
2 	 0.994860 	 0.800158
3 	 0.986870 	 1.102006 
4 	 0.983173 	 1.401283 
5 	 0.982619 	 1.671963 
6 	 0.978329 	 1.960616 
7 	 0.967218 	 2.205352 
8 	 0.976763 	 2.498798 
9 	 0.973347 	 2.747363 
10 	 0.958474 	 3.039467 
11 	 0.913407 	 3.205633 
12 	 0.945328 	 3.458882 
13 	 0.943859 	 3.667294 
14 	 0.928512 	 3.919161 
15 	 0.911006 	 4.158095 
