height	auc	 test_time
1 	 0.941020 	 0.793062 
2 	 0.949577 	 1.001239 
3 	 0.935734 	 1.258402 
4 	 0.949301 	 1.442971 
5 	 0.950320 	 1.707449 
6 	 0.934602 	 1.912254 
7 	 0.948200 	 2.153746 
8 	 0.931076 	 2.439572 
9 	 0.952371 	 2.646638 
10 	 0.948171 	 3.034576 
11 	 0.050230 	 3.222640 
12 	 0.935081 	 3.368047 
13 	 0.938448 	 3.568147 
14 	 0.947459 	 3.843067 
15 	 0.938200 	 4.088107 
