1 	 0.691808 	 0.004574 
2 	 0.675067 	 0.007874 
3 	 0.694320 	 0.013443 
4 	 0.728215 	 0.014968 
5 	 0.764739 	 0.018585 
6 	 0.723033 	 0.021690 
7 	 0.769607 	 0.025582 
8 	 0.822617 	 0.027863 
9 	 0.808015 	 0.033196 
10 	 0.801303 	 0.035831 
11 	 0.793551 	 0.040713 
12 	 0.783011 	 0.042362 
13 	 0.745525 	 0.047488 
14 	 0.785504 	 0.051241 
15 	 0.798536 	 0.054454 
16 	 0.774454 	 0.056916 
17 	 0.819418 	 0.061718 
18 	 0.789998 	 0.065852 
19 	 0.807328 	 0.069553 
20 	 0.789900 	 0.071792 
21 	 0.793610 	 0.075161 
22 	 0.818143 	 0.078089 
23 	 0.789645 	 0.081616 
24 	 0.806975 	 0.086113 
25 	 0.767330 	 0.089296 
