height	auc	 test_time
1 	 0.344713 	 0.045876 
2 	 0.636963 	 0.062795 
3 	 0.536668 	 0.088609 
4 	 0.422836 	 0.101844 
5 	 0.459731 	 0.103974 
6 	 0.500586 	 0.115770 
7 	 0.475007 	 0.130610 
8 	 0.438515 	 0.159808 
9 	 0.453280 	 0.161724 
10 	 0.462358 	 0.174857 
11 	 0.408149 	 0.189459 
12 	 0.423888 	 0.206583 
13 	 0.470254 	 0.222169 
14 	 0.426772 	 0.255399 
15 	 0.464299 	 0.255294 
