tree	auc	 test_time
1 	 0.288683 	 0.028658 
2 	 0.253757 	 0.042490 
3 	 0.243299 	 0.057115 
4 	 0.285179 	 0.077547 
5 	 0.265750 	 0.089022 
6 	 0.257881 	 0.105487 
7 	 0.293067 	 0.119320 
8 	 0.413448 	 0.134227 
9 	 0.303511 	 0.152833 
10 	 0.292396 	 0.171528 
11 	 0.310119 	 0.188039 
12 	 0.445153 	 0.208879 
13 	 0.479761 	 0.223506 
14 	 0.493724 	 0.261603 
